timestamp,predicted_generation_mw,expected_demand_mw,balance_delta_mw,grid_status,ghi_w_m2,cloud_cover_pct,recommended_action
2026-09-12 09:00,35.82,84.1,-48.28,DEFICIT,340.0,93,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-48.3 MW)
2026-09-12 10:00,49.27,84.0,-34.73,DEFICIT,517.0,82,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-34.7 MW)
2026-09-12 11:00,67.65,76.8,-9.15,BALANCED,692.0,89,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-12 12:00,64.63,65.0,-0.37,BALANCED,668.0,98,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-12 13:00,65.55,64.3,1.25,BALANCED,674.0,78,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-12 14:00,68.2,62.3,5.9,BALANCED,713.0,30,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-12 15:00,69.96,59.1,10.86,SURPLUS,668.0,8,Charge Battery Storage (+10.9 MW) / Export to Regional Grid
2026-09-12 16:00,51.07,55.0,-3.93,BALANCED,495.0,5,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-12 17:00,29.26,50.2,-20.94,DEFICIT,286.0,37,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-20.9 MW)
2026-09-12 18:00,9.72,45.0,-35.28,DEFICIT,93.0,23,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-35.3 MW)
2026-09-12 19:00,0.0,57.5,-57.5,DEFICIT,3.0,8,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-57.5 MW)
2026-09-12 20:00,0.0,66.7,-66.7,DEFICIT,0.0,25,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-66.7 MW)
2026-09-12 21:00,0.0,70.0,-70.0,DEFICIT,0.0,29,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-70.0 MW)
2026-09-12 22:00,0.0,66.7,-66.7,DEFICIT,0.0,31,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-66.7 MW)
2026-09-12 23:00,0.0,57.5,-57.5,DEFICIT,0.0,88,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-57.5 MW)
2026-09-13 00:00,0.0,45.0,-45.0,DEFICIT,0.0,45,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-13 01:00,0.0,45.0,-45.0,DEFICIT,0.0,79,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-13 02:00,0.0,45.0,-45.0,DEFICIT,0.0,95,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-13 03:00,0.0,45.0,-45.0,DEFICIT,0.0,88,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-13 04:00,0.0,45.0,-45.0,DEFICIT,0.0,99,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-13 05:00,0.0,45.0,-45.0,DEFICIT,0.0,94,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-13 06:00,0.0,45.0,-45.0,DEFICIT,0.0,68,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-13 07:00,5.12,62.7,-57.58,DEFICIT,53.0,43,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-57.6 MW)
2026-09-13 08:00,22.38,76.7,-54.32,DEFICIT,223.0,22,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-54.3 MW)
2026-09-13 09:00,43.2,84.1,-40.9,DEFICIT,424.0,4,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-40.9 MW)
2026-09-13 10:00,60.1,84.0,-23.9,DEFICIT,607.0,12,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-23.9 MW)
2026-09-13 11:00,74.84,76.8,-1.96,BALANCED,740.0,11,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-13 12:00,81.66,65.0,16.66,SURPLUS,815.0,13,Charge Battery Storage (+16.7 MW) / Export to Regional Grid
2026-09-13 13:00,81.02,64.3,16.72,SURPLUS,821.0,16,Charge Battery Storage (+16.7 MW) / Export to Regional Grid
2026-09-13 14:00,76.49,62.3,14.19,SURPLUS,766.0,13,Charge Battery Storage (+14.2 MW) / Export to Regional Grid
2026-09-13 15:00,64.33,59.1,5.23,BALANCED,640.0,51,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-13 16:00,44.66,55.0,-10.34,DEFICIT,453.0,94,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-10.3 MW)
2026-09-13 17:00,26.85,50.2,-23.35,DEFICIT,269.0,95,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-23.4 MW)
2026-09-13 18:00,7.89,45.0,-37.11,DEFICIT,82.0,84,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-37.1 MW)
2026-09-13 19:00,0.0,57.5,-57.5,DEFICIT,3.0,19,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-57.5 MW)
2026-09-13 20:00,0.0,66.7,-66.7,DEFICIT,0.0,16,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-66.7 MW)
2026-09-13 21:00,0.0,70.0,-70.0,DEFICIT,0.0,19,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-70.0 MW)
2026-09-13 22:00,0.0,66.7,-66.7,DEFICIT,0.0,2,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-66.7 MW)
2026-09-13 23:00,0.0,57.5,-57.5,DEFICIT,0.0,2,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-57.5 MW)
